Model,Regulization,Cora_mean,Cora_std,CiteSeer_mean,CiteSeer_std,PubMed_mean,PubMed_std
GCN,Vanilla,0.8143341815097541,0.005809544133051015,0.6987611496531219,0.005742258080659308,0.7810906117442633,0.0074631594218397875
GCN,Label Smoothing,0.8140797285835453,0.0061768560665184016,0.7009415262636274,0.005332911403586836,0.7830837634793275,0.008513457977651379
GCN,Confidence Penalty,0.8138888888888888,0.008954464644232265,0.6925173439048563,0.04446110222969385,0.783656155772474,0.008739287444118215
GCN,Laplacian Regularizer,0.8143553859202713,0.005774261170728947,0.6944664684506112,0.007207057367021461,0.7810906117442633,0.0074631594218397875
GCN,P-reg ,0.8173240033927056,0.007165553583945871,0.7055830855632641,0.01835435008040554,0.7809424030255021,0.011251386344179515
GAT,Vanilla,0.8261450381679388,0.005607714733181794,0.699603567888999,0.006796993319731784,0.7712909490468647,0.006476707822908839
GAT,Label Smoothing,0.8253180661577607,0.005605188491580336,0.697984803435745,0.008770796039407901,0.7703965860888229,0.014188722822732926
GAT,Confidence Penalty,0.7952502120441052,0.032618035557145424,0.7049223653782623,0.009276944337868971,0.7743190064905197,0.01133890769889592
GAT,Laplacian Regularizer,0.8261450381679388,0.005602901862936506,0.6894449950445987,0.014354317090686509,0.7672126539581949,0.008996296316374176
GAT,P-reg ,0.8287319762510602,0.006329116946226506,0.6965807730426165,0.011029513388105523,0.771362498083508,0.011938908383813679
MLP,Vanilla,0.6009541984732825,0.014553997458916763,0.575635943178064,0.016660592041581178,0.7174835181683445,0.009730808558943621
MLP,Label Smoothing,0.6061068702290076,0.00897585477363931,0.5875123885034688,0.008495715774017082,0.7203940307660857,0.006570578526343714
MLP,Confidence Penalty,0.6055131467345207,0.014053645992441549,0.5800132144037,0.03181422578798353,0.7147416568712629,0.01718116064952269
MLP,Laplacian Regularizer,0.6363443596268024,0.018302980946747382,0.5895110670630987,0.01619993566664782,0.7174835181683445,0.009730808558943621
MLP,P-reg ,0.6160941475826973,0.011773222636647561,0.5901057152296003,0.022707510691396437,0.7115219502223131,0.01949768700582723
