,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3,icd4
0,0,1,0,0.4429,0.342,0.335,tensor(0.5699),0.2529664,1.9235379e-06,0.36496565,"[0.00026382032, 0.00011926885, 9.506412e-06]"
1,0,1,2,0.1429,0.122,0.13,tensor(1.1702),2.1410592,5.3383246e-07,1.0170624,"[9.4533876e-05, 1.7476323e-05, 4.1389335e-06]"
2,0,1,4,0.1429,0.114,0.103,tensor(0.7865),2.923626,5.00447e-07,1.2473058,"[8.9040455e-05, 1.556986e-05, 3.0583838e-06]"
3,0,1,6,0.1429,0.114,0.103,tensor(0.6404),3.3278134,4.1094563e-06,1.3053744,"[0.00017121165, 4.2848722e-05, 4.6759533e-06]"
4,0,1,8,0.1429,0.114,0.103,tensor(0.5224),3.7621818,2.534175e-05,1.3837826,"[0.00031044259, 0.00013883857, 1.0684203e-05]"
5,0,1,10,0.1429,0.114,0.103,tensor(0.4315),4.1878133,4.9088336e-05,1.4598593,"[0.00048063928, 0.00027236211, 2.2931257e-05]"
6,0,1,12,0.1429,0.114,0.103,tensor(0.3550),4.5768166,6.649292e-05,1.5282662,"[0.00064832676, 0.00037770803, 4.0493287e-05]"
7,0,1,14,0.1429,0.114,0.103,tensor(0.2906),4.939578,8.238105e-05,1.5897733,"[0.00080524234, 0.00044791462, 6.1659506e-05]"
8,0,1,16,0.1429,0.114,0.103,tensor(0.2445),5.276567,9.70218e-05,1.644723,"[0.00094834395, 0.0004933605, 8.442543e-05]"
9,0,1,18,0.1429,0.114,0.103,tensor(0.2096),5.597806,0.000110176516,1.6959487,"[0.0010790563, 0.00052434404, 0.00010787342]"
10,0,1,20,0.1429,0.114,0.103,tensor(0.1823),5.9077506,0.00012184455,1.7445012,"[0.0011988592, 0.0005468349, 0.00013147236]"
11,0,1,22,0.1429,0.114,0.103,tensor(0.1604),6.20682,0.0001321476,1.7904025,"[0.0013081469, 0.0005640675, 0.00015471411]"
12,0,1,24,0.1429,0.114,0.103,tensor(0.1423),6.4935427,0.00014124924,1.8332281,"[0.0014069261, 0.00057785946, 0.00017713665]"
13,0,1,26,0.1429,0.114,0.103,tensor(0.1272),6.7660413,0.00014932288,1.8724697,"[0.0014954554, 0.0005893028, 0.00019840826]"
14,0,1,28,0.1429,0.114,0.103,tensor(0.1147),7.0251093,0.00015656675,1.9086088,"[0.0015751041, 0.00059911155, 0.00021842781]"
15,0,1,30,0.1429,0.114,0.103,tensor(0.1044),7.275005,0.0001632379,1.9431556,"[0.0016482656, 0.0006078951, 0.0002374199]"
16,0,1,32,0.1429,0.114,0.103,tensor(0.0958),7.511746,0.00016928984,1.9750831,"[0.0017139922, 0.0006157442, 0.0002549901]"
17,0,1,34,0.1429,0.114,0.103,tensor(0.0886),7.742999,0.00017506398,2.0064342,"[0.0017761056, 0.0006231387, 0.0002718748]"
18,0,1,36,0.1429,0.114,0.103,tensor(0.0825),7.965052,0.00018047846,2.0361898,"[0.0018334029, 0.0006300354, 0.00028774582]"
19,0,1,38,0.1429,0.114,0.103,tensor(0.0773),8.178441,0.00018557906,2.0644968,"[0.0018864466, 0.00063652324, 0.00030266476]"
20,0,1,40,0.1429,0.114,0.103,tensor(0.0729),8.382765,0.00019037,2.091295,"[0.0019353041, 0.0006426306, 0.00031660518]"
21,0,2,0,0.75,0.502,0.55,tensor(1.5991),0.5400066,6.665445e-05,0.54571146,"[0.00041962945, 0.00052789494, 2.4974337e-05]"
22,0,2,2,0.1429,0.072,0.091,tensor(1.7055),2.7244031,4.1845116e-05,1.1403116,"[0.0003972263, 0.00021584735, 1.45047325e-05]"
23,0,2,4,0.1429,0.072,0.091,tensor(1.0649),3.2371924,2.8327207e-05,1.2157654,"[0.0001929596, 0.0003204508, 1.3304928e-05]"
24,0,2,6,0.1429,0.072,0.091,tensor(0.8619),3.715351,7.754377e-05,1.3090513,"[0.00040397732, 0.0004660432, 3.3793847e-05]"
25,0,2,8,0.1429,0.072,0.091,tensor(0.6959),4.208692,0.00011239634,1.3950824,"[0.00074093963, 0.0005389027, 8.182716e-05]"
26,0,2,10,0.1429,0.072,0.091,tensor(0.5353),4.7410936,0.00013950936,1.4803526,"[0.0011247059, 0.00057831215, 0.00014932081]"
27,0,2,12,0.1429,0.072,0.091,tensor(0.4103),5.246466,0.00016123419,1.5554425,"[0.0014624356, 0.0006057235, 0.00021998814]"
28,0,2,14,0.1429,0.072,0.091,tensor(0.3104),5.751888,0.00018170418,1.6258794,"[0.0017497318, 0.0006306133, 0.0002881277]"
