,model,reg,mu,train_acc,val_acc,test_acc
0,gcn,lap_loss,0.0,1.0,0.802,0.807
1,gcn,lap_loss,0.1,1.0,0.682,0.697
2,gcn,lap_loss,0.2,0.9929,0.658,0.678
3,gcn,lap_loss,0.3,0.9929,0.658,0.674
4,gcn,lap_loss,0.4,0.9857,0.666,0.67
5,gcn,lap_loss,0.5,0.9857,0.658,0.662
6,gcn,lap_loss,0.6,0.9857,0.644,0.648
7,gcn,lap_loss,0.7,0.9857,0.648,0.646
8,gcn,lap_loss,0.8,0.9857,0.65,0.652
9,gat,lap_loss,0.0,0.9929,0.796,0.81
10,gat,lap_loss,0.1,0.9857,0.77,0.765
11,gat,lap_loss,0.2,0.9857,0.778,0.771
12,gat,lap_loss,0.3,0.9714,0.764,0.766
13,gat,lap_loss,0.4,0.9714,0.754,0.764
14,gat,lap_loss,0.5,0.9714,0.75,0.757
15,gat,lap_loss,0.6,0.9714,0.744,0.743
16,gat,lap_loss,0.7,0.9643,0.75,0.739
17,gat,lap_loss,0.8,0.9643,0.75,0.738
18,gcn,preg_loss,0.0,1.0,0.802,0.807
19,gcn,preg_loss,0.1,1.0,0.804,0.818
20,gcn,preg_loss,0.2,1.0,0.81,0.822
21,gcn,preg_loss,0.3,1.0,0.818,0.824
22,gcn,preg_loss,0.4,1.0,0.812,0.832
23,gcn,preg_loss,0.5,1.0,0.808,0.837
24,gcn,preg_loss,0.6,1.0,0.806,0.835
25,gcn,preg_loss,0.7,1.0,0.802,0.836
26,gcn,preg_loss,0.8,1.0,0.798,0.837
27,gat,preg_loss,0.0,0.9929,0.796,0.81
28,gat,preg_loss,0.1,0.9929,0.804,0.814
29,gat,preg_loss,0.2,1.0,0.8,0.822
30,gat,preg_loss,0.3,1.0,0.814,0.823
31,gat,preg_loss,0.4,1.0,0.814,0.831
32,gat,preg_loss,0.5,1.0,0.816,0.837
33,gat,preg_loss,0.6,1.0,0.82,0.838
34,gat,preg_loss,0.7,0.9714,0.778,0.808
35,gat,preg_loss,0.8,0.9357,0.67,0.701
