,mu,seed,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3,icd4_train,icd4_val,icd4_test
0,0.0,11,1.0,0.794,0.806,tensor(1.8117),1.9330813,0.00010342388,0.992504,0.0017434563,0.001184153,0.00022287558
1,0.2,11,1.0,0.804,0.815,tensor(1.6467),3.0753465,0.0001702069,1.2648637,0.0026461903,0.0017825344,0.00048776047
2,0.4,11,1.0,0.812,0.83,tensor(1.5155),4.1443872,0.00026081785,1.4695528,0.003520603,0.002462641,0.00084673613
3,0.6,11,0.9929,0.804,0.835,tensor(1.4083),5.0017676,0.00035102223,1.6128986,0.0042949743,0.003094074,0.0011586215
4,0.8,11,0.9929,0.794,0.835,tensor(1.3333),5.685935,0.00042624766,1.7176179,0.004973244,0.0035408102,0.0013931111
5,1.0,11,0.9929,0.794,0.835,tensor(1.3208),6.2672653,0.00046418334,1.8070096,0.005538921,0.0034552652,0.001463103
6,1.2,11,0.9857,0.534,0.535,tensor(1.8961),6.895351,0.0005051799,1.9355097,0.0043678284,0.003404151,0.0013707724
7,1.4,11,0.9643,0.442,0.423,tensor(2.5390),7.348114,0.0005000613,2.0762744,0.004491185,0.0028761902,0.0011694434
8,1.6,11,0.9643,0.396,0.396,tensor(2.9145),7.648275,0.00040997282,2.1182284,0.0047073187,0.002882197,0.0012033071
9,1.8,11,0.9286,0.368,0.373,tensor(3.2310),7.8300653,0.00041799727,2.1513758,0.004478496,0.0028623543,0.001189117
10,2.0,11,0.9143,0.344,0.349,tensor(3.2768),7.836663,0.00036957813,2.1548076,0.0041088276,0.0026054687,0.001110994
11,0.0,12,1.0,0.788,0.804,tensor(1.8238),1.9149603,9.526408e-05,0.98717695,0.0017165302,0.0010598338,0.00023424688
12,0.2,12,1.0,0.806,0.823,tensor(1.6069),3.0452774,0.00016583639,1.2558757,0.0026042783,0.001741404,0.0005253841
13,0.4,12,1.0,0.816,0.83,tensor(1.4680),4.087129,0.00026101383,1.457639,0.0034743152,0.0024451527,0.0009056987
14,0.6,12,1.0,0.8,0.833,tensor(1.4110),4.9482465,0.00034736723,1.6053228,0.004205977,0.0030537446,0.0012204748
15,0.8,12,1.0,0.798,0.834,tensor(1.3884),5.694181,0.00041732844,1.727094,0.0049012057,0.003474146,0.0014430842
16,1.0,12,0.9929,0.794,0.829,tensor(1.3599),6.3280196,0.00045553182,1.8123848,0.0055523426,0.0037932221,0.0016122769
17,1.2,12,0.9929,0.8,0.826,tensor(1.3295),6.843373,0.0004999465,1.8813417,0.0060277646,0.004017997,0.001810355
18,1.4,12,0.9643,0.55,0.549,tensor(1.8993),7.3668303,0.0005224816,2.011549,0.0047116624,0.0040602917,0.0015425537
19,1.6,12,0.9571,0.502,0.497,tensor(2.3648),7.745194,0.00052631524,2.0927765,0.0045645856,0.0038640513,0.001456392
20,1.8,12,0.9571,0.4,0.403,tensor(2.9096),7.983353,0.0005225935,2.1695693,0.0045868,0.0029838416,0.0011573593
21,2.0,12,0.95,0.47,0.483,tensor(2.0512),8.845446,0.0004513901,2.2705998,0.0065024174,0.003690203,0.0014544164
