,model,num_training_nodes,train_acc,val_acc,test_acc
0,gcn,10,1.0,0.7571428571428571,0.6357085668534828
1,gcn,20,1.0,0.8,0.8274299835255354
2,gcn,30,0.9857142857142858,0.8785714285714286,0.8396946564885496
3,gcn,40,0.9928571428571429,0.8571428571428571,0.854458041958042
4,gcn,50,0.9857142857142858,0.8357142857142857,0.8530207394048692
5,gcn,60,0.9833333333333333,0.8785714285714286,0.845437616387337
6,gcn,70,0.9673469387755103,0.85,0.8628488931665063
7,gcn,80,0.9553571428571429,0.8928571428571429,0.8819721115537849
8,gcn,90,0.9571428571428572,0.8285714285714286,0.8653250773993808
9,gcn,100,0.94,0.8785714285714286,0.8709850107066381
10,gat,10,1.0,0.8,0.8182546036829463
11,gat,20,0.9928571428571429,0.8214285714285714,0.8397858319604613
12,gat,30,0.9857142857142858,0.8857142857142857,0.820186598812553
13,gat,40,0.9714285714285714,0.8285714285714286,0.8409090909090909
14,gat,50,0.9714285714285714,0.85,0.851668169522092
15,gat,60,0.9761904761904762,0.8857142857142857,0.8626629422718808
16,gat,70,0.9612244897959183,0.85,0.865255052935515
17,gat,80,0.9339285714285714,0.8857142857142857,0.8859561752988048
18,gat,90,0.9507936507936507,0.8285714285714286,0.8725490196078431
19,gat,100,0.93,0.9,0.8725910064239829
