,model,unmask preg ratio,train_acc,val_acc,test_acc
0,gcn,0.1,0.9928571428571429,0.79,0.815
1,gcn,0.2,0.9928571428571429,0.802,0.822
2,gcn,0.3,0.9928571428571429,0.804,0.817
3,gcn,0.4,0.9928571428571429,0.81,0.816
4,gcn,0.5,0.9928571428571429,0.802,0.817
5,gcn,0.6,0.9928571428571429,0.804,0.82
6,gcn,0.7,0.9928571428571429,0.772,0.802
7,gcn,0.8,0.9571428571428572,0.538,0.534
8,gcn,0.9,0.9357142857142857,0.472,0.473
9,gcn,1.0,0.8928571428571429,0.41,0.411
10,gat,0.1,0.9928571428571429,0.802,0.811
11,gat,0.2,0.9928571428571429,0.808,0.812
12,gat,0.3,0.9928571428571429,0.806,0.813
13,gat,0.4,1.0,0.818,0.822
14,gat,0.5,1.0,0.822,0.829
15,gat,0.6,1.0,0.814,0.827
16,gat,0.7,0.9857142857142858,0.786,0.809
17,gat,0.8,0.9357142857142857,0.68,0.71
18,gat,0.9,0.9214285714285714,0.638,0.632
19,gat,1.0,0.8928571428571429,0.586,0.593
