,seed,hidden_channels,mu,train_acc,val_acc,test_acc
0,0,1,0.0,0.4429,0.342,0.335
1,0,1,0.1,0.4429,0.344,0.343
2,0,1,0.2,0.4571,0.346,0.339
3,0,1,0.3,0.4857,0.352,0.341
4,0,1,0.4,0.4929,0.352,0.346
5,0,1,0.5,0.4714,0.342,0.346
6,0,1,0.6,0.4571,0.322,0.333
7,0,1,0.7,0.4286,0.294,0.323
8,0,1,0.8,0.3643,0.23,0.27
9,0,1,0.9,0.1643,0.062,0.068
10,0,1,1.0,0.1429,0.072,0.091
11,0,2,0.0,0.75,0.502,0.55
12,0,2,0.1,0.7357,0.498,0.536
13,0,2,0.2,0.6929,0.478,0.508
14,0,2,0.3,0.6857,0.474,0.49
15,0,2,0.4,0.6786,0.464,0.459
16,0,2,0.5,0.6643,0.436,0.433
17,0,2,0.6,0.5786,0.334,0.332
18,0,2,0.7,0.3857,0.21,0.199
19,0,2,0.8,0.2286,0.17,0.163
20,0,2,0.9,0.2,0.162,0.151
21,0,2,1.0,0.1571,0.32,0.321
22,0,4,0.0,0.9714,0.74,0.754
23,0,4,0.1,0.9643,0.736,0.755
24,0,4,0.2,0.9643,0.746,0.757
25,0,4,0.3,0.9643,0.75,0.763
26,0,4,0.4,0.9643,0.75,0.764
27,0,4,0.5,0.9643,0.748,0.764
28,0,4,0.6,0.9714,0.734,0.746
29,0,4,0.7,0.9571,0.62,0.634
30,0,4,0.8,0.7286,0.372,0.366
31,0,4,0.9,0.6214,0.284,0.271
32,0,4,1.0,0.5714,0.268,0.234
33,0,8,0.0,0.9857,0.77,0.804
34,0,8,0.1,0.9857,0.782,0.819
35,0,8,0.2,0.9857,0.784,0.82
36,0,8,0.3,0.9786,0.792,0.824
37,0,8,0.4,0.9786,0.786,0.821
38,0,8,0.5,0.9714,0.782,0.817
39,0,8,0.6,0.9714,0.746,0.788
40,0,8,0.7,0.8857,0.574,0.587
41,0,8,0.8,0.8071,0.472,0.495
42,0,8,0.9,0.6429,0.282,0.27
43,0,8,1.0,0.6143,0.248,0.247
44,0,16,0.0,0.9929,0.794,0.803
45,0,16,0.1,0.9929,0.792,0.81
46,0,16,0.2,0.9929,0.792,0.819
47,0,16,0.3,0.9929,0.792,0.83
48,0,16,0.4,0.9857,0.792,0.835
49,0,16,0.5,0.9857,0.768,0.812
50,0,16,0.6,0.9857,0.768,0.789
51,0,16,0.7,0.9857,0.754,0.766
52,0,16,0.8,0.9786,0.728,0.735
53,0,16,0.9,0.9571,0.64,0.646
54,0,16,1.0,0.8571,0.402,0.389
55,0,32,0.0,1.0,0.792,0.805
56,0,32,0.1,1.0,0.794,0.813
57,0,32,0.2,1.0,0.804,0.821
58,0,32,0.3,1.0,0.8,0.834
59,0,32,0.4,1.0,0.802,0.83
60,0,32,0.5,1.0,0.796,0.828
61,0,32,0.6,1.0,0.796,0.828
62,0,32,0.7,0.9857,0.776,0.801
63,0,32,0.8,0.9857,0.738,0.76
64,0,32,0.9,0.9857,0.718,0.733
65,0,32,1.0,0.9857,0.688,0.708
66,0,64,0.0,1.0,0.788,0.807
67,0,64,0.1,1.0,0.796,0.816
68,0,64,0.2,1.0,0.808,0.825
69,0,64,0.3,1.0,0.822,0.829
70,0,64,0.4,1.0,0.816,0.832
71,0,64,0.5,1.0,0.812,0.838
72,0,64,0.6,1.0,0.808,0.838
73,0,64,0.7,1.0,0.802,0.84
74,0,64,0.8,1.0,0.8,0.838
75,0,64,0.9,1.0,0.796,0.836
76,0,64,1.0,1.0,0.8,0.832
77,0,128,0.0,1.0,0.79,0.813
78,0,128,0.1,1.0,0.794,0.821
79,0,128,0.2,1.0,0.816,0.824
80,0,128,0.3,1.0,0.816,0.83
81,0,128,0.4,1.0,0.816,0.831
82,0,128,0.5,1.0,0.806,0.835
83,0,128,0.6,1.0,0.796,0.832
84,0,128,0.7,1.0,0.794,0.835
85,0,128,0.8,1.0,0.794,0.837
86,0,128,0.9,1.0,0.796,0.836
87,0,128,1.0,0.9929,0.798,0.839
88,1,1,0.0,0.3929,0.262,0.284
89,1,1,0.1,0.3929,0.254,0.284
90,1,1,0.2,0.3929,0.248,0.277
91,1,1,0.3,0.3929,0.242,0.258
92,1,1,0.4,0.3929,0.214,0.239
93,1,1,0.5,0.3929,0.194,0.218
94,1,1,0.6,0.3786,0.176,0.208
95,1,1,0.7,0.35,0.132,0.176
96,1,1,0.8,0.2357,0.076,0.105
97,1,1,0.9,0.2286,0.076,0.104
98,1,1,1.0,0.2071,0.122,0.141
99,1,2,0.0,0.6357,0.45,0.495
100,1,2,0.1,0.6214,0.47,0.511
101,1,2,0.2,0.6143,0.478,0.518
102,1,2,0.3,0.6214,0.472,0.514
103,1,2,0.4,0.6571,0.474,0.514
104,1,2,0.5,0.6429,0.468,0.494
105,1,2,0.6,0.6286,0.428,0.46
106,1,2,0.7,0.6071,0.368,0.393
107,1,2,0.8,0.3571,0.216,0.193
108,1,2,0.9,0.3071,0.186,0.171
109,1,2,1.0,0.3,0.178,0.169
110,1,4,0.0,0.9643,0.744,0.754
111,1,4,0.1,0.9714,0.756,0.764
112,1,4,0.2,0.9643,0.764,0.768
113,1,4,0.3,0.9714,0.766,0.775
114,1,4,0.4,0.95,0.756,0.764
115,1,4,0.5,0.9429,0.752,0.759
116,1,4,0.6,0.8929,0.724,0.729
117,1,4,0.7,0.7571,0.594,0.58
118,1,4,0.8,0.5571,0.392,0.399
119,1,4,0.9,0.4714,0.352,0.366
120,1,4,1.0,0.3357,0.102,0.129
121,1,8,0.0,1.0,0.796,0.809
122,1,8,0.1,1.0,0.8,0.818
123,1,8,0.2,1.0,0.808,0.83
124,1,8,0.3,0.9929,0.812,0.836
125,1,8,0.4,0.9929,0.818,0.846
126,1,8,0.5,0.9857,0.8,0.83
127,1,8,0.6,0.9786,0.742,0.768
128,1,8,0.7,0.9571,0.668,0.677
129,1,8,0.8,0.9143,0.57,0.572
130,1,8,0.9,0.8714,0.5,0.517
131,1,8,1.0,0.8571,0.468,0.496
132,1,16,0.0,1.0,0.784,0.8
133,1,16,0.1,1.0,0.794,0.817
134,1,16,0.2,0.9929,0.802,0.822
135,1,16,0.3,0.9929,0.802,0.821
136,1,16,0.4,0.9929,0.806,0.819
137,1,16,0.5,0.9929,0.806,0.821
138,1,16,0.6,0.9929,0.802,0.821
139,1,16,0.7,0.9929,0.724,0.768
140,1,16,0.8,0.9571,0.518,0.521
141,1,16,0.9,0.9286,0.466,0.463
142,1,16,1.0,0.8929,0.41,0.411
143,1,32,0.0,1.0,0.788,0.805
144,1,32,0.1,1.0,0.796,0.819
145,1,32,0.2,1.0,0.812,0.82
146,1,32,0.3,1.0,0.818,0.828
147,1,32,0.4,1.0,0.812,0.831
148,1,32,0.5,1.0,0.808,0.834
149,1,32,0.6,1.0,0.804,0.828
150,1,32,0.7,1.0,0.806,0.827
151,1,32,0.8,0.9786,0.764,0.765
152,1,32,0.9,0.9857,0.706,0.702
153,1,32,1.0,0.9857,0.72,0.72
154,1,64,0.0,1.0,0.802,0.807
155,1,64,0.1,1.0,0.804,0.818
156,1,64,0.2,1.0,0.81,0.822
157,1,64,0.3,1.0,0.818,0.824
158,1,64,0.4,1.0,0.812,0.832
159,1,64,0.5,1.0,0.808,0.837
160,1,64,0.6,1.0,0.806,0.835
161,1,64,0.7,1.0,0.802,0.836
162,1,64,0.8,1.0,0.798,0.837
163,1,64,0.9,1.0,0.802,0.835
164,1,64,1.0,1.0,0.798,0.826
165,1,128,0.0,1.0,0.796,0.809
166,1,128,0.1,1.0,0.802,0.816
167,1,128,0.2,1.0,0.812,0.82
