,mu,seed,train_acc,val_acc,test_acc,icd0
0,0.0,0,1.0,0.788,0.807,0.4584681987762451
1,0.2,0,1.0,0.808,0.825,0.42535775899887085
2,0.4,0,1.0,0.816,0.832,0.3911592960357666
3,0.6,0,1.0,0.808,0.838,0.3635833263397217
4,0.8,0,1.0,0.8,0.838,0.34356656670570374
5,1.0,0,1.0,0.8,0.833,0.325248122215271
6,1.2,0,1.0,0.798,0.824,0.319133460521698
7,1.4,0,1.0,0.688,0.717,0.32146045565605164
8,1.6,0,0.95,0.422,0.407,0.30337950587272644
9,1.8,0,0.9429,0.4,0.394,0.2947646975517273
10,2.0,0,0.9143,0.376,0.375,0.29279303550720215
11,0.0,1,1.0,0.802,0.807,0.4583783447742462
12,0.2,1,1.0,0.81,0.822,0.4268903136253357
13,0.4,1,1.0,0.812,0.832,0.38924261927604675
14,0.6,1,1.0,0.806,0.835,0.3645663559436798
15,0.8,1,1.0,0.798,0.837,0.34300824999809265
16,1.0,1,1.0,0.798,0.826,0.32894110679626465
17,1.2,1,0.9929,0.758,0.778,0.33369144797325134
18,1.4,1,0.95,0.58,0.589,0.31110695004463196
19,1.6,1,0.9429,0.574,0.572,0.30247288942337036
20,1.8,1,0.9286,0.528,0.553,0.2852284908294678
21,2.0,1,0.9214,0.526,0.542,0.278154194355011
22,0.0,2,1.0,0.788,0.814,0.4627310633659363
23,0.2,2,1.0,0.808,0.83,0.4324909746646881
24,0.4,2,1.0,0.794,0.837,0.3965395987033844
25,0.6,2,1.0,0.796,0.836,0.37037384510040283
26,0.8,2,0.9929,0.796,0.835,0.3537413477897644
27,1.0,2,0.9857,0.716,0.733,0.35678309202194214
28,1.2,2,0.9857,0.744,0.75,0.35294389724731445
29,1.4,2,0.9643,0.688,0.693,0.330907940864563
30,1.6,2,0.9286,0.622,0.628,0.3141503930091858
31,1.8,2,0.9214,0.588,0.599,0.3096134066581726
32,2.0,2,0.9,0.548,0.562,0.2964303195476532
33,0.0,3,1.0,0.8,0.82,0.45937684178352356
34,0.2,3,1.0,0.812,0.824,0.4321558475494385
35,0.4,3,1.0,0.814,0.836,0.3927720785140991
36,0.6,3,1.0,0.802,0.836,0.3633168935775757
37,0.8,3,1.0,0.796,0.834,0.3471038341522217
38,1.0,3,1.0,0.804,0.833,0.3363714814186096
39,1.2,3,0.9714,0.556,0.558,0.33162981271743774
40,1.4,3,0.9357,0.35,0.365,0.2927500009536743
41,1.6,3,0.9214,0.326,0.346,0.280157208442688
42,1.8,3,0.8857,0.292,0.327,0.2722197473049164
43,2.0,3,0.8643,0.262,0.302,0.26696550846099854
