,mu,seed,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3,icd4_train,icd4_val,icd4_test
0,0.0,0,0.9929,0.794,0.803,tensor(2.5149),1.4667177,8.671692e-05,0.87067455,0.0013149533,0.0009300989,0.00013687614
1,0.2,0,0.9929,0.792,0.819,tensor(2.4387),1.9670484,0.0001122497,1.0153874,0.0015603016,0.0012097721,0.00022894803
2,0.4,0,0.9857,0.792,0.835,tensor(2.3904),2.5418742,0.00014243554,1.1587425,0.0018824274,0.0015002189,0.00036324892
3,0.6,0,0.9857,0.768,0.789,tensor(2.4295),3.1384976,0.00017525243,1.2922351,0.0022621076,0.0017080224,0.0004930511
4,0.8,0,0.9786,0.728,0.735,tensor(2.6309),3.6652076,0.00021235879,1.4157737,0.0024666602,0.0017837797,0.00054692937
5,1.0,0,0.8571,0.4,0.388,tensor(3.6560),4.32158,0.0001405894,1.6277894,0.0022091505,0.0017111506,0.00044014485
6,1.2,0,0.8071,0.326,0.32,tensor(3.8063),4.5887256,0.000119528886,1.6846672,0.0021726429,0.0016311923,0.0003804599
7,1.4,0,0.8,0.452,0.462,tensor(4.0300),4.8720183,0.00014732112,1.7099304,0.0022142087,0.0010799827,0.00027821792
8,1.6,0,0.7643,0.424,0.447,tensor(4.0305),5.1416893,0.0001448162,1.7579128,0.0022162304,0.0011031898,0.00026310963
9,1.8,0,0.75,0.406,0.431,tensor(4.0200),5.341312,0.00015514778,1.7887313,0.002304154,0.0011107932,0.0002807162
10,2.0,0,0.7143,0.398,0.411,tensor(4.1220),5.4822145,0.00015851205,1.8137456,0.0023349004,0.001189852,0.00028831774
11,0.0,1,1.0,0.784,0.8,tensor(2.4020),1.4527177,5.2046053e-05,0.8593215,0.0011237564,0.00088995224,0.00012580497
12,0.2,1,0.9929,0.802,0.822,tensor(2.3418),1.905617,5.8315072e-05,0.99641263,0.0014361853,0.0010069913,0.00016629936
13,0.4,1,0.9929,0.806,0.819,tensor(2.2881),2.4724612,8.257808e-05,1.145007,0.0018240651,0.0012297729,0.00025327434
14,0.6,1,0.9929,0.802,0.821,tensor(2.2543),3.0312064,0.000111908405,1.2771213,0.0022012512,0.0014698657,0.00035227538
15,0.8,1,0.9571,0.518,0.521,tensor(2.6684),3.4567015,0.00010095344,1.3905134,0.0018416584,0.0014999582,0.0003765261
16,1.0,1,0.8929,0.41,0.411,tensor(3.3563),3.935785,8.4359366e-05,1.5112555,0.0017771664,0.0013146664,0.00034694807
17,1.2,1,0.8929,0.528,0.53,tensor(3.5343),4.9364767,8.6923705e-05,1.7390567,0.0028198042,0.0013993477,0.00031006965
18,1.4,1,0.85,0.504,0.507,tensor(3.6738),5.1881,8.444504e-05,1.7775066,0.002922541,0.0013193677,0.00031141768
19,1.6,1,0.8429,0.458,0.471,tensor(3.7671),5.382062,8.946187e-05,1.807255,0.0029274432,0.0012578893,0.00031169577
20,1.8,1,0.7714,0.412,0.446,tensor(4.1210),5.546309,0.00010183861,1.8305646,0.0029001138,0.0011779999,0.00031516506
21,2.0,1,0.6857,0.396,0.421,tensor(4.3627),5.6846576,0.00011790624,1.8491341,0.002886824,0.0010791908,0.00030925605
22,0.0,2,1.0,0.798,0.821,tensor(2.4951),1.3094195,6.806459e-05,0.8182607,0.0012272282,0.00056426384,0.00011881704
23,0.2,2,0.9929,0.808,0.827,tensor(2.3707),1.7504301,8.229428e-05,0.9522605,0.001504744,0.00082857854,0.00019107104
24,0.4,2,0.9929,0.802,0.839,tensor(2.3031),2.2649107,0.00010421749,1.0865811,0.0018638407,0.0011261095,0.00031055728
25,0.6,2,0.9857,0.784,0.817,tensor(2.2688),2.7676902,0.00013099631,1.2085837,0.002202197,0.0013696525,0.00044344724
26,0.8,2,0.9786,0.664,0.678,tensor(2.6439),3.315348,0.000121065925,1.3739069,0.0022881755,0.0011018831,0.00037711495
27,1.0,2,0.9214,0.554,0.556,tensor(3.2498),3.6849425,7.99943e-05,1.4792157,0.0022453985,0.00093657704,0.0002762332
28,1.2,2,0.8429,0.34,0.34,tensor(3.9998),4.315475,0.0001333235,1.6264029,0.0018922569,0.0011064684,0.00031604277
29,1.4,2,0.7714,0.314,0.317,tensor(4.1688),4.667422,0.00014857751,1.6896204,0.0019162765,0.0010595762,0.0003139947
