,mu,seed,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3
0,0.0,0,0.9929,0.794,0.803,tensor(0.1257),1.4667177,8.671692e-05,0.87067455
1,0.1,0,0.9929,0.792,0.81,tensor(0.1236),1.6992632,9.903518e-05,0.9412256
2,0.2,0,0.9929,0.792,0.819,tensor(0.1219),1.9670486,0.00011224967,1.0153875
3,0.3,0,0.9929,0.792,0.83,tensor(0.1207),2.25484,0.0001264081,1.0898372
4,0.4,0,0.9857,0.792,0.835,tensor(0.1195),2.5418742,0.00014243559,1.1587425
5,0.5,0,0.9857,0.768,0.812,tensor(0.1202),2.8477938,0.00015776555,1.2299662
6,0.6,0,0.9857,0.768,0.789,tensor(0.1215),3.1384976,0.00017525243,1.292235
7,0.7,0,0.9857,0.754,0.766,tensor(0.1234),3.4100194,0.00019907652,1.3533878
8,0.8,0,0.9786,0.728,0.735,tensor(0.1315),3.6652074,0.00021235885,1.4157737
9,0.9,0,0.9571,0.64,0.646,tensor(0.1541),3.9197752,0.00018162292,1.5057791
10,1.0,0,0.8571,0.4,0.388,tensor(0.1828),4.3215795,0.0001405893,1.6277895
11,1.1,0,0.8214,0.344,0.344,tensor(0.1899),4.4674797,0.00012271373,1.6618385
12,1.2,0,0.8071,0.326,0.32,tensor(0.1903),4.5887256,0.000119528915,1.6846675
13,1.3,0,0.7929,0.314,0.309,tensor(0.1920),4.688664,0.000113903065,1.7040519
14,1.4,0,0.8,0.452,0.462,tensor(0.2015),4.872018,0.00014732104,1.7099304
15,1.5,0,0.7857,0.432,0.456,tensor(0.2008),5.0365305,0.00014651069,1.737888
16,1.6,0,0.7571,0.424,0.448,tensor(0.2033),5.138292,0.00014458249,1.7573472
17,1.7,0,0.7571,0.408,0.434,tensor(0.2009),5.220643,0.00014554085,1.7733105
18,1.8,0,0.75,0.406,0.431,tensor(0.2010),5.3413115,0.00015514776,1.7887315
19,1.9,0,0.7429,0.402,0.421,tensor(0.2014),5.4243855,0.00015704974,1.8040651
20,2.0,0,0.7143,0.398,0.411,tensor(0.2061),5.482215,0.00015851206,1.8137455
21,0.0,1,1.0,0.784,0.8,tensor(0.1201),1.4527177,5.2046053e-05,0.8593215
22,0.1,1,1.0,0.794,0.817,tensor(0.1190),1.6557344,5.2894644e-05,0.92260057
23,0.2,1,0.9929,0.802,0.822,tensor(0.1171),1.9056171,5.8315076e-05,0.99641275
24,0.3,1,0.9929,0.802,0.821,tensor(0.1158),2.186577,6.880737e-05,1.072582
25,0.4,1,0.9929,0.806,0.819,tensor(0.1144),2.4724612,8.2578066e-05,1.145007
26,0.5,1,0.9929,0.806,0.821,tensor(0.1133),2.7557118,9.727922e-05,1.2134694
27,0.6,1,0.9929,0.802,0.821,tensor(0.1127),3.0312061,0.0001119084,1.2771213
28,0.7,1,0.9929,0.724,0.768,tensor(0.1087),3.1674721,0.00012546386,1.3040932
29,0.8,1,0.9571,0.518,0.521,tensor(0.1334),3.456702,0.00010095344,1.3905135
30,0.9,1,0.9286,0.466,0.463,tensor(0.1522),3.703291,9.1458896e-05,1.454466
31,1.0,1,0.8929,0.41,0.411,tensor(0.1678),3.9357848,8.43597e-05,1.5112551
32,1.1,1,0.9143,0.574,0.572,tensor(0.1675),4.7438784,8.5841944e-05,1.7024233
33,1.2,1,0.9,0.528,0.531,tensor(0.1741),4.9354467,8.748244e-05,1.7387766
34,1.3,1,0.8643,0.522,0.524,tensor(0.1812),5.12128,8.43981e-05,1.7667074
35,1.4,1,0.85,0.504,0.507,tensor(0.1837),5.1881,8.444503e-05,1.7775065
36,1.5,1,0.8429,0.482,0.483,tensor(0.1870),5.300586,8.662412e-05,1.7946604
37,1.6,1,0.8429,0.458,0.471,tensor(0.1884),5.382062,8.946191e-05,1.807255
38,1.7,1,0.8071,0.44,0.461,tensor(0.1963),5.472626,9.542843e-05,1.8203436
39,1.8,1,0.7714,0.412,0.446,tensor(0.2061),5.54631,0.00010183859,1.8305647
40,1.9,1,0.7214,0.402,0.431,tensor(0.2137),5.6262164,0.000109728506,1.8412641
41,2.0,1,0.6857,0.396,0.421,tensor(0.2181),5.6846576,0.000117906275,1.8491341
42,0.0,2,1.0,0.798,0.821,tensor(0.1248),1.3094195,6.806459e-05,0.8182607
43,0.1,2,1.0,0.804,0.822,tensor(0.1217),1.5120507,7.385423e-05,0.8824732
44,0.2,2,0.9929,0.808,0.827,tensor(0.1185),1.7504301,8.22943e-05,0.9522605
45,0.3,2,0.9929,0.816,0.837,tensor(0.1166),2.0036378,9.243543e-05,1.0206952
46,0.4,2,0.9929,0.802,0.839,tensor(0.1152),2.2649105,0.00010421748,1.0865811
47,0.5,2,0.9857,0.806,0.832,tensor(0.1143),2.5184283,0.00011763532,1.1470636
48,0.6,2,0.9857,0.784,0.817,tensor(0.1134),2.7676904,0.00013099631,1.2085836
49,0.7,2,0.9857,0.73,0.756,tensor(0.1169),3.0441792,0.00013565784,1.2813634
50,0.8,2,0.9786,0.664,0.678,tensor(0.1322),3.315348,0.000121065954,1.3739069
51,0.9,2,0.9286,0.6,0.594,tensor(0.1566),3.5633466,8.438518e-05,1.4501301
52,1.0,2,0.9214,0.554,0.556,tensor(0.1625),3.684942,7.999433e-05,1.4792157
53,1.1,2,0.8786,0.366,0.357,tensor(0.1904),4.1093526,0.00012683644,1.5870274
54,1.2,2,0.8429,0.34,0.34,tensor(0.2000),4.3154745,0.00013332351,1.6264027
55,1.3,2,0.8071,0.32,0.324,tensor(0.2038),4.4930954,0.00013903478,1.6581528
56,1.4,2,0.7714,0.312,0.317,tensor(0.2085),4.667264,0.00014881589,1.6895074
57,1.5,2,0.7143,0.196,0.244,tensor(0.2154),4.7900124,0.00011392478,1.7101278
58,1.6,2,0.7071,0.192,0.227,tensor(0.2126),4.890818,0.00012791513,1.7251396
59,1.7,2,0.6929,0.186,0.219,tensor(0.2134),5.0048814,0.0001361246,1.7405826
60,1.8,2,0.6786,0.182,0.214,tensor(0.2139),5.0767875,0.00013973625,1.748109
61,1.9,2,0.6714,0.18,0.211,tensor(0.2127),5.1206384,0.00014061901,1.750434
62,2.0,2,0.6429,0.18,0.206,tensor(0.2154),5.160193,0.00014039467,1.7512249
63,0.0,3,1.0,0.79,0.812,tensor(0.1218),1.3244528,8.689053e-05,0.7977025
64,0.1,3,1.0,0.802,0.818,tensor(0.1188),1.5168909,8.999596e-05,0.85666114
65,0.2,3,1.0,0.814,0.823,tensor(0.1164),1.743232,9.478458e-05,0.9215393
66,0.3,3,1.0,0.818,0.829,tensor(0.1145),1.9901882,0.00010045259,0.9875633
67,0.4,3,0.9857,0.816,0.831,tensor(0.1114),2.2551057,0.00010710136,1.0557419
68,0.5,3,0.9857,0.81,0.834,tensor(0.1107),2.5227923,0.000114643364,1.1227696
69,0.6,3,0.9786,0.798,0.82,tensor(0.1110),2.7902036,0.00012138025,1.1911306
70,0.7,3,0.9786,0.778,0.798,tensor(0.1123),3.0585268,0.00012649815,1.2627579
71,0.8,3,0.9714,0.748,0.754,tensor(0.1210),3.3533864,0.00012540982,1.3474715
72,0.9,3,0.9357,0.66,0.655,tensor(0.1469),3.6519542,0.000116345116,1.4314919
73,1.0,3,0.9357,0.68,0.685,tensor(0.1422),3.9084373,0.00013359796,1.4681543
74,1.1,3,0.8286,0.268,0.298,tensor(0.1883),4.1562123,8.467573e-05,1.5806504
75,1.2,3,0.8214,0.318,0.323,tensor(0.2022),4.4661183,0.00011828679,1.6497078
76,1.3,3,0.8071,0.3,0.311,tensor(0.2028),4.609872,0.00012084694,1.6747382
77,1.4,3,0.7643,0.294,0.3,tensor(0.2062),4.74161,0.00012177074,1.6973422
78,1.5,3,0.7571,0.278,0.287,tensor(0.2055),4.9053082,0.00012520605,1.7242291
79,1.6,3,0.75,0.272,0.284,tensor(0.2048),5.040094,0.00012830409,1.7458944
80,1.7,3,0.7286,0.264,0.276,tensor(0.2046),5.171233,0.0001320852,1.767038
81,1.8,3,0.6929,0.256,0.267,tensor(0.2115),5.4175644,0.00014139527,1.8051627
82,1.9,3,0.6714,0.252,0.257,tensor(0.2094),5.502438,0.00014144473,1.8186938
83,2.0,3,0.6571,0.25,0.246,tensor(0.2063),5.566754,0.00014114895,1.8285619
84,0.0,4,1.0,0.79,0.81,tensor(0.1234),1.3876336,1.7289265e-05,0.8518942
85,0.1,4,1.0,0.798,0.818,tensor(0.1213),1.6019334,2.1456624e-05,0.921566
86,0.2,4,1.0,0.8,0.821,tensor(0.1199),1.8608385,2.7300732e-05,0.99925077
87,0.3,4,0.9929,0.804,0.816,tensor(0.1189),2.1462514,3.46913e-05,1.0782751
88,0.4,4,0.9929,0.8,0.823,tensor(0.1184),2.4398358,4.3634416e-05,1.1536715
89,0.5,4,0.9857,0.786,0.816,tensor(0.1185),2.746109,5.4161937e-05,1.2274724
90,0.6,4,0.9857,0.756,0.781,tensor(0.1200),3.070955,6.540778e-05,1.3041252
91,0.7,4,0.9786,0.718,0.745,tensor(0.1261),3.3975375,7.489607e-05,1.3819153
92,0.8,4,0.9786,0.738,0.766,tensor(0.1264),3.6345782,8.522374e-05,1.4301366
93,0.9,4,0.9786,0.628,0.671,tensor(0.1324),3.7071989,8.644041e-05,1.4508427
94,1.0,4,0.9071,0.426,0.433,tensor(0.1680),4.075109,7.180545e-05,1.5443357
95,1.1,4,0.8357,0.35,0.365,tensor(0.1876),4.1680326,7.422558e-05,1.5643831
96,1.2,4,0.85,0.278,0.312,tensor(0.1778),4.7494745,4.5378434e-05,1.7060097
97,1.3,4,0.8429,0.266,0.302,tensor(0.1804),4.967429,4.7065027e-05,1.7346066
98,1.4,4,0.7857,0.25,0.279,tensor(0.1971),5.091779,4.6293284e-05,1.7516584
99,1.5,4,0.7571,0.226,0.266,tensor(0.1972),5.1752076,4.6772133e-05,1.7577245
100,1.6,4,0.75,0.216,0.255,tensor(0.1950),5.2091513,4.519526e-05,1.7607225
101,1.7,4,0.7,0.212,0.246,tensor(0.2068),5.1867194,4.345193e-05,1.7544233
102,1.8,4,0.7,0.19,0.226,tensor(0.2002),5.112671,4.1755575e-05,1.7392029
103,1.9,4,0.6643,0.182,0.211,tensor(0.2024),5.177872,4.284111e-05,1.7461928
104,2.0,4,0.65,0.19,0.215,tensor(0.2015),5.3197794,4.6751295e-05,1.7744375
105,0.0,5,0.9929,0.8,0.804,tensor(0.1182),1.3958288,4.4256016e-05,0.8429103
106,0.1,5,0.9929,0.796,0.814,tensor(0.1155),1.6343938,6.339864e-05,0.91342556
107,0.2,5,0.9929,0.802,0.825,tensor(0.1130),1.9065956,8.151563e-05,0.98853296
108,0.3,5,0.9929,0.786,0.828,tensor(0.1104),2.1888611,9.779241e-05,1.0607556
109,0.4,5,0.9929,0.798,0.834,tensor(0.1082),2.466722,0.0001139102,1.1278543
110,0.5,5,0.9857,0.794,0.824,tensor(0.1057),2.7301083,0.00013038998,1.1893085
111,0.6,5,0.9857,0.77,0.793,tensor(0.1057),2.9951167,0.00014606761,1.2506807
112,0.7,5,0.9857,0.756,0.778,tensor(0.1067),3.2410684,0.00015661064,1.3097192
113,0.8,5,0.9786,0.71,0.727,tensor(0.1155),3.5104542,0.0001544952,1.3813164
114,0.9,5,0.9714,0.682,0.679,tensor(0.1263),3.737993,0.00014214289,1.4450703
115,1.0,5,0.9571,0.676,0.67,tensor(0.1323),3.917364,0.00014576242,1.4840723
116,1.1,5,0.8929,0.284,0.287,tensor(0.1876),4.392469,0.00010803959,1.6208677
117,1.2,5,0.8714,0.31,0.325,tensor(0.1750),4.9639335,8.9324276e-05,1.737333
118,1.3,5,0.85,0.294,0.307,tensor(0.1822),5.1057878,9.3105526e-05,1.7584867
119,1.4,5,0.85,0.414,0.388,tensor(0.1760),5.2085867,0.00017324479,1.7665488
120,1.5,5,0.8357,0.366,0.339,tensor(0.1811),5.32262,0.00015967265,1.7891321
121,1.6,5,0.8143,0.354,0.332,tensor(0.1856),5.413523,0.00015197194,1.8029503
122,1.7,5,0.7929,0.344,0.324,tensor(0.1922),5.521869,0.0001520478,1.821181
123,1.8,5,0.7714,0.342,0.327,tensor(0.1990),5.6967583,0.0001804216,1.8498209
124,1.9,5,0.85,0.442,0.434,tensor(0.1658),5.9591594,0.00020582897,1.9010149
125,2.0,5,0.75,0.248,0.276,tensor(0.1950),6.0079308,0.000119953635,1.9223357
126,0.0,6,1.0,0.78,0.801,tensor(0.1199),1.5536262,6.843775e-05,0.8910515
127,0.1,6,1.0,0.788,0.821,tensor(0.1175),1.8168514,7.1803406e-05,0.96827656
128,0.2,6,1.0,0.804,0.821,tensor(0.1154),2.1261811,7.919966e-05,1.0525091
129,0.3,6,1.0,0.814,0.833,tensor(0.1137),2.4609718,8.824039e-05,1.1368754
130,0.4,6,1.0,0.814,0.835,tensor(0.1130),2.8164213,9.86306e-05,1.2221099
131,0.5,6,1.0,0.816,0.836,tensor(0.1133),3.1785789,0.000111403344,1.3062166
132,0.6,6,0.9929,0.8,0.823,tensor(0.1151),3.5351198,0.00012523364,1.3894279
133,0.7,6,0.9857,0.778,0.806,tensor(0.1190),3.8766646,0.00013562519,1.4735686
134,0.8,6,0.9786,0.668,0.679,tensor(0.1389),4.413419,0.00015022593,1.6205063
