,model,reg,seed,mu,train_acc,val_acc,test_acc
0,gcn,preg_loss,0,0.0,1.0,0.79,0.813
1,gcn,preg_loss,0,0.1,1.0,0.794,0.821
2,gcn,preg_loss,0,0.2,1.0,0.816,0.824
3,gcn,preg_loss,0,0.3,1.0,0.816,0.83
4,gcn,preg_loss,0,0.4,1.0,0.816,0.831
5,gcn,preg_loss,0,0.5,1.0,0.806,0.835
6,gcn,preg_loss,0,0.6,1.0,0.796,0.832
7,gcn,preg_loss,0,0.7,1.0,0.794,0.835
8,gcn,preg_loss,0,0.8,1.0,0.794,0.837
9,gcn,preg_loss,0,0.9,1.0,0.796,0.836
10,gcn,preg_loss,0,1.0,0.9929,0.798,0.839
11,gcn,preg_loss,1,0.0,1.0,0.796,0.809
12,gcn,preg_loss,1,0.1,1.0,0.802,0.816
13,gcn,preg_loss,1,0.2,1.0,0.812,0.82
14,gcn,preg_loss,1,0.3,1.0,0.816,0.827
15,gcn,preg_loss,1,0.4,1.0,0.812,0.826
16,gcn,preg_loss,1,0.5,1.0,0.802,0.828
17,gcn,preg_loss,1,0.6,0.9929,0.8,0.831
18,gcn,preg_loss,1,0.7,0.9929,0.792,0.824
19,gcn,preg_loss,1,0.8,0.9929,0.796,0.828
20,gcn,preg_loss,1,0.9,0.9929,0.796,0.826
21,gcn,preg_loss,1,1.0,0.9929,0.798,0.827
22,gcn,preg_loss,2,0.0,1.0,0.79,0.811
23,gcn,preg_loss,2,0.1,1.0,0.804,0.818
24,gcn,preg_loss,2,0.2,1.0,0.81,0.826
25,gcn,preg_loss,2,0.3,1.0,0.818,0.83
26,gcn,preg_loss,2,0.4,1.0,0.812,0.831
27,gcn,preg_loss,2,0.5,1.0,0.812,0.833
28,gcn,preg_loss,2,0.6,1.0,0.804,0.832
29,gcn,preg_loss,2,0.7,1.0,0.794,0.825
30,gcn,preg_loss,2,0.8,1.0,0.8,0.83
31,gcn,preg_loss,2,0.9,1.0,0.8,0.829
32,gcn,preg_loss,2,1.0,1.0,0.792,0.815
33,gcn,preg_loss,3,0.0,1.0,0.79,0.808
34,gcn,preg_loss,3,0.1,1.0,0.802,0.818
35,gcn,preg_loss,3,0.2,1.0,0.812,0.824
36,gcn,preg_loss,3,0.3,1.0,0.822,0.829
37,gcn,preg_loss,3,0.4,1.0,0.818,0.83
38,gcn,preg_loss,3,0.5,1.0,0.814,0.832
39,gcn,preg_loss,3,0.6,1.0,0.806,0.835
40,gcn,preg_loss,3,0.7,1.0,0.802,0.83
41,gcn,preg_loss,3,0.8,1.0,0.798,0.831
42,gcn,preg_loss,3,0.9,1.0,0.804,0.837
43,gcn,preg_loss,3,1.0,1.0,0.806,0.827
44,gcn,preg_loss,4,0.0,1.0,0.782,0.806
45,gcn,preg_loss,4,0.1,1.0,0.798,0.821
46,gcn,preg_loss,4,0.2,1.0,0.818,0.824
47,gcn,preg_loss,4,0.3,1.0,0.812,0.827
48,gcn,preg_loss,4,0.4,1.0,0.814,0.833
49,gcn,preg_loss,4,0.5,1.0,0.804,0.836
50,gcn,preg_loss,4,0.6,1.0,0.8,0.837
51,gcn,preg_loss,4,0.7,1.0,0.802,0.839
52,gcn,preg_loss,4,0.8,1.0,0.798,0.837
53,gcn,preg_loss,4,0.9,1.0,0.796,0.836
54,gcn,preg_loss,4,1.0,0.9929,0.806,0.834
