,seed,model,reg,mu,train_acc,val_acc,test_acc,icd
0,0,gcn,preg_loss,0.0,1.0,0.802,0.807,0.4584
1,0,gcn,preg_loss,0.1,1.0,0.804,0.818,0.4446
2,0,gcn,preg_loss,0.2,1.0,0.81,0.822,0.4269
3,0,gcn,preg_loss,0.3,1.0,0.818,0.824,0.4064
4,0,gcn,preg_loss,0.4,1.0,0.812,0.832,0.3893
5,0,gcn,preg_loss,0.5,1.0,0.808,0.837,0.3787
6,0,gcn,preg_loss,0.6,1.0,0.806,0.835,0.3646
7,0,gcn,preg_loss,0.7,1.0,0.802,0.836,0.3538
8,0,gcn,preg_loss,0.8,1.0,0.798,0.837,0.343
9,0,gat,preg_loss,0.0,0.9929,0.796,0.81,0.4552
10,0,gat,preg_loss,0.1,0.9929,0.804,0.814,0.4529
11,0,gat,preg_loss,0.2,1.0,0.8,0.822,0.4481
12,0,gat,preg_loss,0.3,1.0,0.814,0.823,0.4449
13,0,gat,preg_loss,0.4,1.0,0.814,0.831,0.4384
14,0,gat,preg_loss,0.5,1.0,0.816,0.837,0.433
15,0,gat,preg_loss,0.6,1.0,0.82,0.838,0.4294
16,0,gat,preg_loss,0.7,0.9714,0.778,0.808,0.4353
17,0,gat,preg_loss,0.8,0.9357,0.67,0.701,0.4341
18,0,gcn,lap_loss,0.0,1.0,0.802,0.807,0.4584
19,0,gcn,lap_loss,0.1,1.0,0.682,0.697,0.338
20,0,gcn,lap_loss,0.2,0.9929,0.658,0.678,0.2906
21,0,gcn,lap_loss,0.3,0.9929,0.658,0.673,0.2622
22,0,gcn,lap_loss,0.4,0.9857,0.662,0.672,0.2414
23,0,gcn,lap_loss,0.5,0.9857,0.658,0.662,0.2268
24,0,gcn,lap_loss,0.6,0.9857,0.644,0.647,0.2155
25,0,gcn,lap_loss,0.7,0.9857,0.648,0.647,0.206
26,0,gcn,lap_loss,0.8,0.9857,0.648,0.648,0.1978
27,0,gat,lap_loss,0.0,0.9929,0.796,0.81,0.4552
28,0,gat,lap_loss,0.1,0.9857,0.772,0.77,0.2268
29,0,gat,lap_loss,0.2,0.9857,0.778,0.771,0.1768
30,0,gat,lap_loss,0.3,0.9714,0.764,0.766,0.1499
31,0,gat,lap_loss,0.4,0.9714,0.754,0.765,0.1328
32,0,gat,lap_loss,0.5,0.9714,0.75,0.757,0.1208
33,0,gat,lap_loss,0.6,0.9714,0.744,0.742,0.1112
34,0,gat,lap_loss,0.7,0.9643,0.75,0.739,0.1039
35,0,gat,lap_loss,0.8,0.9643,0.75,0.738,0.0978
36,1,gcn,preg_loss,0.0,1.0,0.802,0.807,0.4584
37,1,gcn,preg_loss,0.1,1.0,0.804,0.818,0.4446
