,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3
0,0,1,0.0,0.4429,0.342,0.335,[0.1551 0.1486 0.1509],[0.2069 0.2419 0.2349],[0.5047 0.4561 0.4613],[0.6609 0.7292 0.7056]
1,0,1,0.2,0.4571,0.346,0.339,[0.1457 0.1444 0.1455],[0.2005 0.2379 0.2316],[0.4743 0.4413 0.4454],[0.6429 0.7185 0.694 ]
2,0,1,0.4,0.4929,0.352,0.346,[0.1395 0.1423 0.1439],[0.1981 0.2364 0.2314],[0.4506 0.4321 0.4351],[0.6318 0.7105 0.6891]
3,0,1,0.6,0.4571,0.322,0.333,[0.1389 0.1446 0.1441],[0.1979 0.2374 0.2341],[0.442  0.4349 0.4312],[0.6298 0.7059 0.6884]
4,0,1,0.8,0.3643,0.23,0.27,[0.1983 0.2178 0.2175],[0.2059 0.2521 0.2481],[0.5746 0.5995 0.596 ],[0.6298 0.7092 0.6892]
5,0,1,1.0,0.1429,0.072,0.091,[0.2639 0.2094 0.2039],[0.1561 0.1629 0.1594],[1.107  0.9051 0.8739],[0.6669 0.7356 0.7097]
6,0,1,1.2,0.1429,0.122,0.13,[0.2978 0.244  0.2435],[0.1624 0.1749 0.1737],[1.0943 0.9449 0.9361],[0.6177 0.7177 0.7105]
7,0,1,1.4,0.1429,0.122,0.13,[0.2868 0.2356 0.2355],[0.1609 0.1725 0.1735],[1.026  0.9054 0.9001],[0.5915 0.7009 0.7014]
8,0,1,1.6,0.1429,0.122,0.13,[0.2676 0.2199 0.217 ],[0.1573 0.1664 0.1693],[0.9176 0.8382 0.8318],[0.568 0.662 0.677]
9,0,1,1.8,0.1429,0.122,0.13,[0.2478 0.207  0.2041],[0.1549 0.1597 0.1655],[0.8279 0.7808 0.7749],[0.5376 0.6317 0.6499]
10,0,1,2.0,0.1429,0.122,0.13,[0.2325 0.1939 0.1919],[0.152  0.1537 0.1602],[0.7841 0.7458 0.7417],[0.5294 0.6179 0.6342]
11,0,2,0.0,0.75,0.502,0.55,[0.2696 0.2735 0.2811],[0.2792 0.3269 0.3249],[0.7975 0.7773 0.7972],[0.8286 0.9239 0.9141]
12,0,2,0.2,0.6929,0.478,0.508,[0.2571 0.2692 0.2731],[0.2719 0.3251 0.3226],[0.7737 0.7692 0.7824],[0.8109 0.919  0.9092]
13,0,2,0.4,0.6786,0.464,0.459,[0.2466 0.268  0.2707],[0.2687 0.3282 0.3247],[0.7586 0.78   0.7929],[0.8125 0.9334 0.9252]
14,0,2,0.6,0.5786,0.334,0.332,[0.2655 0.2952 0.3059],[0.2673 0.3317 0.3248],[0.8283 0.8709 0.9071],[0.8274 0.9544 0.9457]
15,0,2,0.8,0.2286,0.17,0.163,[0.4432 0.3969 0.3961],[0.2813 0.3224 0.3149],[1.2859 1.1759 1.1866],[0.839  0.9742 0.9697]
16,0,2,1.0,0.1571,0.32,0.321,[0.4455 0.3329 0.3414],[0.2725 0.2712 0.2688],[1.3842 1.1604 1.1815],[0.8544 0.9591 0.9581]
17,0,2,1.2,0.15,0.072,0.092,[0.3658 0.2819 0.2811],[0.199  0.2241 0.2234],[1.4622 1.2315 1.2067],[0.8561 0.9675 0.9614]
18,0,2,1.4,0.1429,0.072,0.091,[0.3327 0.2522 0.2532],[0.1798 0.2057 0.206 ],[1.4369 1.1969 1.1744],[0.8289 0.9426 0.9364]
19,0,2,1.6,0.1429,0.072,0.091,[0.3126 0.2332 0.2346],[0.1687 0.1935 0.1937],[1.3812 1.1644 1.1367],[0.796  0.9211 0.9159]
20,0,2,1.8,0.1429,0.072,0.091,[0.2955 0.2176 0.2189],[0.161  0.1821 0.1823],[1.3316 1.1315 1.1048],[0.769  0.8974 0.8939]
21,0,2,2.0,0.1429,0.072,0.091,[0.2815 0.2047 0.2059],[0.1552 0.1728 0.1729],[1.2848 1.0995 1.0746],[0.7457 0.8755 0.873 ]
22,0,4,0.0,0.9714,0.74,0.754,[0.3468 0.3745 0.372 ],[0.3524 0.4128 0.4106],[0.9582 0.9901 0.9807],[0.9623 1.0617 1.057 ]
23,0,4,0.2,0.9643,0.746,0.757,[0.3461 0.378  0.3779],[0.3541 0.4206 0.4194],[0.9726 1.0088 1.0037],[0.9808 1.0852 1.0828]
24,0,4,0.4,0.9643,0.75,0.764,[0.35   0.3841 0.3848],[0.3579 0.4289 0.4284],[0.9957 1.0321 1.0317],[1.0046 1.1114 1.1112]
25,0,4,0.6,0.9714,0.734,0.746,[0.3579 0.3941 0.3923],[0.363  0.4339 0.4341],[1.0213 1.0684 1.0624],[1.0279 1.1345 1.1359]
26,0,4,0.8,0.7286,0.372,0.366,[0.4187 0.4319 0.4353],[0.3723 0.398  0.3957],[1.1723 1.2274 1.2307],[1.0304 1.1032 1.1061]
27,0,4,1.0,0.5714,0.268,0.234,[0.4338 0.3863 0.4078],[0.3739 0.3567 0.3528],[1.2869 1.2486 1.287 ],[1.0232 1.0674 1.0701]
