,seed,model,unmask preg ratio,train_acc,val_acc,test_acc,icd
0,0,gcn,0.1,1.0,0.812,0.814,0.4505
1,0,gcn,0.2,1.0,0.818,0.815,0.442
2,0,gcn,0.3,1.0,0.804,0.823,0.4319
3,0,gcn,0.4,1.0,0.796,0.818,0.414
4,0,gcn,0.5,1.0,0.812,0.823,0.4019
5,0,gcn,0.6,1.0,0.814,0.831,0.3967
6,0,gcn,0.7,1.0,0.804,0.828,0.3775
7,0,gcn,0.8,1.0,0.804,0.836,0.3686
8,0,gcn,0.9,1.0,0.808,0.835,0.3599
9,0,gcn,1.0,1.0,0.802,0.836,0.3538
10,0,gat,0.1,1.0,0.778,0.807,0.4515
11,0,gat,0.2,1.0,0.794,0.821,0.4487
12,0,gat,0.3,1.0,0.792,0.817,0.4452
13,0,gat,0.4,1.0,0.8,0.829,0.4442
14,0,gat,0.5,0.9929,0.804,0.817,0.4409
15,0,gat,0.6,0.9929,0.802,0.823,0.4351
16,0,gat,0.7,0.9929,0.802,0.828,0.4293
17,0,gat,0.8,0.9929,0.802,0.822,0.4285
18,0,gat,0.9,0.9929,0.788,0.808,0.4267
19,0,gat,1.0,0.9929,0.75,0.769,0.4338
20,1,gcn,0.1,1.0,0.808,0.814,0.4495
21,1,gcn,0.2,1.0,0.802,0.816,0.4398
22,1,gcn,0.3,1.0,0.8,0.816,0.4251
23,1,gcn,0.4,1.0,0.812,0.828,0.4119
24,1,gcn,0.5,1.0,0.812,0.825,0.4032
25,1,gcn,0.6,1.0,0.82,0.829,0.3879
26,1,gcn,0.7,1.0,0.806,0.827,0.3811
27,1,gcn,0.8,1.0,0.81,0.83,0.3726
28,1,gcn,0.9,1.0,0.804,0.84,0.3623
29,1,gcn,1.0,1.0,0.802,0.836,0.3538
30,1,gat,0.1,1.0,0.792,0.812,0.448
31,1,gat,0.2,1.0,0.778,0.81,0.4488
32,1,gat,0.3,0.9929,0.794,0.813,0.442
33,1,gat,0.4,0.9929,0.8,0.821,0.4407
34,1,gat,0.5,1.0,0.798,0.821,0.4361
35,1,gat,0.6,0.9929,0.798,0.822,0.4371
36,1,gat,0.7,0.9929,0.804,0.822,0.4327
37,1,gat,0.8,0.9929,0.796,0.819,0.4265
38,1,gat,0.9,0.9929,0.776,0.798,0.4276
39,1,gat,1.0,0.9929,0.75,0.769,0.4338
40,2,gcn,0.1,1.0,0.808,0.817,0.4507
41,2,gcn,0.2,1.0,0.812,0.817,0.4383
42,2,gcn,0.3,1.0,0.812,0.824,0.4274
43,2,gcn,0.4,1.0,0.806,0.826,0.4173
44,2,gcn,0.5,1.0,0.802,0.823,0.4042
45,2,gcn,0.6,1.0,0.81,0.823,0.3846
46,2,gcn,0.7,1.0,0.802,0.825,0.379
47,2,gcn,0.8,1.0,0.802,0.834,0.3687
48,2,gcn,0.9,1.0,0.808,0.831,0.364
49,2,gcn,1.0,1.0,0.802,0.836,0.3538
50,2,gat,0.1,1.0,0.792,0.815,0.4496
51,2,gat,0.2,1.0,0.794,0.814,0.448
52,2,gat,0.3,1.0,0.794,0.822,0.4439
53,2,gat,0.4,0.9929,0.796,0.811,0.4392
54,2,gat,0.5,0.9929,0.8,0.821,0.439
55,2,gat,0.6,0.9929,0.796,0.823,0.435
56,2,gat,0.7,0.9929,0.808,0.829,0.4304
57,2,gat,0.8,0.9929,0.8,0.816,0.4274
58,2,gat,0.9,0.9929,0.772,0.804,0.4271
59,2,gat,1.0,0.9929,0.75,0.769,0.4338
60,3,gcn,0.1,1.0,0.812,0.815,0.4515
61,3,gcn,0.2,1.0,0.806,0.818,0.4417
62,3,gcn,0.3,1.0,0.818,0.822,0.424
63,3,gcn,0.4,1.0,0.802,0.816,0.4111
64,3,gcn,0.5,1.0,0.812,0.824,0.4047
65,3,gcn,0.6,1.0,0.808,0.832,0.3903
66,3,gcn,0.7,1.0,0.81,0.823,0.3871
67,3,gcn,0.8,1.0,0.798,0.831,0.3699
68,3,gcn,0.9,1.0,0.798,0.834,0.359
69,3,gcn,1.0,1.0,0.802,0.836,0.3538
70,3,gat,0.1,1.0,0.79,0.81,0.4493
71,3,gat,0.2,1.0,0.798,0.814,0.4451
72,3,gat,0.3,1.0,0.786,0.812,0.4428
73,3,gat,0.4,0.9929,0.788,0.819,0.4395
74,3,gat,0.5,1.0,0.806,0.823,0.4364
75,3,gat,0.6,0.9929,0.804,0.825,0.4331
76,3,gat,0.7,0.9929,0.802,0.826,0.4298
77,3,gat,0.8,0.9929,0.796,0.817,0.4275
78,3,gat,0.9,1.0,0.766,0.793,0.433
79,3,gat,1.0,0.9929,0.75,0.769,0.4338
